CATEGORIA;MONTADORA;MODELO;PLACA;ANOFABRICACAO;DATADECOMPRA;ATIVO
CAMINHAO;VOLKSWAGEN;VW/24.250E;JJU1827;2011;;S
CAMINHAO;VOLKSWAGEN;VW/12.140 H;GKU6844;1994;;S
CAMINHAO;MERCEDES BENZ;MB/L 1620;GMF6358;2010;;S
CAMINHONETAS;NISSAN;FRONTIER;GMF6697;2011;;S
CAMINHONETAS;MITSUBISHI;L200 4X4 GL 4P.;JKH9273;2006;;S
CAMINHONETAS;RENAULT;DUSTER EX16 SCE;GMF8473;2018;;S
CAMINHONETAS;REANULT;DUSTER;GMF8474;2018;;S
CAMINHONETAS;TOYOTA;BANDEIRANTE;MNE0523;1997;;S
CAMINHONETAS;VW;SAVEIRO 1.6 C.S;OGU7566;2011;;S
CAMINHONETAS;CHEVROLET;S10;GLE5874;2008;;S
CAMINHONETAS;TOYOTA;HILLUX CD4X4;HDO9759;2006;;S
CAMINHONETAS;NISSAN;FRONTIER;GMF6694;2011;;S
CAMINHONETAS;FORD;RANGER;GMF6452;2010;;S
CAMINHONETAS;NISSAN;FRONTIER;GMF6696;2011;;S
CAMINHONETAS;NISSAN;FRONTIER;GMF6695;2011;;S
CAMINHONETAS;TOYOTA;HILLUX CD4X4;HDO9760;2006;;S
Cortador;HUSQVARNA;LZ6121;HLZ6121;2010;;S
Implemento Agrícola;JUMIL;JM 2040 1.80;JMM2040;2001;;S
Implemento Agrícola;SANTA ISABEL;ARADO 4 DISCO ESH43;ESH0043;2010;;S
Implemento Agrícola;CUSTON;930C2;CUS9302;2011;;S
MAXXUM 135;CASE;MXM-0135;MXM0135;2013;;S
MICRO-ONIBUS;MARCOPOLO;MARCOPOLO/ VOLARE W9;GLD9061;2006;;S
MICRO-ONIBUS;MERCEDES BENZ;MB LO 812 D;JFO5939;1991;;S
MICRO-ONIBUS;MERCEDES BENZ;MB LO 608 D;JFP7241;1986;;S
MICRO-ONIBUS;MARCOPOLO;MARCOPOLO/ VOLARE W8;GMF6522;2010;;S
MICRO-ONIBUS;MARCOPOLO;MARCOPOLO/ VOLARE W8;GMF6523;2010;;S
MICRO-ONIBUS;MERCEDES BENZ;SPRINTER;GMF7886;2014;;S
MICRO-ONIBUS;MERCEDES BENZ;SPRINTER;GMF7884;2014;;S
MICRO-ONIBUS;MERCEDES BENZ;SPRINTER;GMF7885;2014;;S
MICRO-ONIBUS;MERCEDES BENZ;SPRINTER;GMF7887;2014;;S
MICRO-ONIBUS;MERCEDES BENZ;SPRINTER;GMF7883;2014;;S
MOTO;SUNDOWN;HUNTER 90;HDZ8313;2006;;S
MOTO;YAMAHA;YBR 125K;GYK7436;2003;;S
ONIBUS;VOLVO;B12;GMF5984;2008;;S
ONIBUS;MERCEDES BENZ;M. BENZ OF 1115;GKO1306;1991;;S
ONIBUS;VOLVO;B11R;GMF7273;2012;;S
ONIBUS;VOLKSWAGEN;VW/MASCARELO;GMF6944;2011;;S
ONIBUS;VOLVO;VOLVO COMIL CAMPIONE;GMF5790;2007;;S
TRATOR;MASSEY FERGUSON;275;MFE0275;2004;;S
TRATOR;NEW HOLLAND;TM 7010;TM7010;2009;;S
TRATOR;JOHN DEERE;5303;JON5303;2000;;S
TRATOR;MASSEY FERGUSON;292;MFE0292;2003;;S
UTILITARIOS;FIAT;DUCATO;JFP5115;2003;;S
